ISBN,title,author,price,amazon-url
9784873115658,リーダブルコード,"Dustin Boswell (著), Trevor Foucher (著), 須藤 功平 (解説), 角 征典 (翻訳) ",2520,http://www.amazon.co.jp/dp/4873115655/
9784839924027,アジャイルな見積りと計画づくり,"Mike Cohn (著), マイク コーン (著), 安井 力 (翻訳), 角谷 信太郎 (翻訳) ",3360,http://www.amazon.co.jp/dp/4839924023/
9784894712287,リファクタリング,"マーチン ファウラー (著), Martin Fowler (原著), 児玉 公信 (翻訳), 平澤 章 (翻訳), 友野 晶夫 (翻訳), 梅沢 真史 (翻訳) ",5040,http://www.amazon.co.jp/dp/4894712288/
